IP地址,端口号,TLS,丢包率,扫描方式,网络延迟,下载速度,出站IP,IP类型,原始输入,数据中心,源IP位置,地区,城市,ASN号码,ASN组织,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
216.23.87.50,443,true,0%,HTTPing,119ms,未测速,2a0f:b240:19:31::a,IPv6,216.23.87.50,NRT,JP,Asia Pacific,Tokyo,AS203090,Bitsflowcloud Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
212.135.211.234,443,true,0%,HTTPing,119ms,未测速,2a13:edc0:18:27a::a,IPv6,212.135.211.234,NRT,JP,Asia Pacific,Tokyo,AS216211,Cyberverse LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
103.27.187.73,443,true,0%,HTTPing,120ms,未测速,2403:ad80:89:4c00:15:0:24cb:2d95,IPv6,103.27.187.73,NRT,JP,Asia Pacific,Tokyo,AS134835,Starry Network Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
216.23.84.115,443,true,0%,HTTPing,120ms,未测速,2a12:4041:7:74::a,IPv6,216.23.84.115,NRT,JP,Asia Pacific,Tokyo,AS203090,Bitsflowcloud Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
178.239.117.205,8443,true,0%,HTTPing,120ms,未测速,2a0f:9400:7393:1f::9a,IPv6,178.239.117.205,NRT,JP,Asia Pacific,Tokyo,AS134677,Dromatics Systems Pte Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
216.23.120.117,443,true,0%,HTTPing,120ms,未测速,216.23.120.117,IPv4,216.23.120.117,NRT,JP,Asia Pacific,Tokyo,AS205548,Zouter Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
45.143.235.138,2053,true,0%,HTTPing,120ms,未测速,2a12:a301:2006::1031,IPv6,45.143.235.138,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
154.83.95.6,443,true,0%,HTTPing,120ms,未测速,2602:fa4f:b00:fc74:94d2:ed0c:4880:298b,IPv6,154.83.95.6,NRT,JP,Asia Pacific,Tokyo,AS61112,AKILE LTD,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
147.79.20.129,443,true,0%,HTTPing,120ms,未测速,2a12:bec0:165:444::,IPv6,147.79.20.129,NRT,JP,Asia Pacific,Tokyo,AS51847,Nearoute Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
45.94.40.58,8443,true,0%,HTTPing,120ms,未测速,2a12:a303:11a:34::a,IPv6,45.94.40.58,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
45.153.246.47,443,true,0%,HTTPing,120ms,未测速,45.153.246.47,IPv4,45.153.246.47,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
103.27.186.119,443,true,0%,HTTPing,121ms,未测速,2403:ad80:89:4c00:14:0:aba2:7050,IPv6,103.27.186.119,NRT,JP,Asia Pacific,Tokyo,AS134835,Starry Network Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
147.79.20.177,443,true,0%,HTTPing,121ms,未测速,2a12:bec0:165:2b0::,IPv6,147.79.20.177,NRT,JP,Asia Pacific,Tokyo,AS51847,Nearoute Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
2.27.134.42,443,true,0%,HTTPing,121ms,未测速,2400:54a0:20c0:300:37::a,IPv6,2.27.134.42,NRT,JP,Asia Pacific,Tokyo,AS206675,"Pan-lian Technology Co., Limited",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
103.194.42.152,443,true,0%,HTTPing,121ms,未测速,2403:ad80:88:489d::1135,IPv6,103.194.42.152,NRT,JP,Asia Pacific,Tokyo,AS134835,Starry Network Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085220.000
156.231.112.255,443,true,0%,HTTPing,122ms,未测速,2602:fa4f:b00:fcca:6eb8:b1b:de90:8f21,IPv6,156.231.112.255,NRT,JP,Asia Pacific,Tokyo,AS61112,AKILE LTD,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
45.251.240.125,443,true,0%,HTTPing,122ms,未测速,2401:e9e0:3000::8,IPv6,45.251.240.125,KIX,JP,Asia Pacific,Osaka,AS4785,xTom,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
45.142.127.210,443,true,0%,HTTPing,122ms,未测速,2a12:a301:2003::10f8,IPv6,45.142.127.210,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
185.200.66.206,443,true,0%,HTTPing,122ms,未测速,2a12:a301:2012::1007,IPv6,185.200.66.206,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085222.000
45.142.127.205,443,true,0%,HTTPing,122ms,未测速,2a12:a301:2003::10b2,IPv6,45.142.127.205,NRT,JP,Asia Pacific,Tokyo,AS3258,xTom Japan Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1789085221.000
