IP地址,端口号,TLS,丢包率,扫描方式,网络延迟,下载速度,出站IP,IP类型,原始输入,数据中心,源IP位置,地区,城市,ASN号码,ASN组织,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
31.58.50.143,8443,true,0%,HTTPing,416ms,未测速,31.58.50.143,IPv4,31.58.50.143,SJC,US,North America,San Jose,AS56971,Cgi Global Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912238.000
45.38.19.167,443,true,0%,HTTPing,416ms,未测速,45.38.19.167,IPv4,45.38.19.167,MCI,US,North America,Kansas City,AS211273,Cloud Software - FZCO,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
45.38.249.19,8443,true,0%,HTTPing,417ms,未测速,45.38.249.19,IPv4,45.38.249.19,MCI,US,North America,Kansas City,AS211273,Cloud Software - FZCO,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
129.153.74.231,443,true,0%,HTTPing,417ms,未测速,2603:c020:13:cc00:0:543:d65d:7ded,IPv6,129.153.74.231,SJC,US,North America,San Jose,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912241.000
44.240.99.186,443,true,0%,HTTPing,417ms,未测速,2600:1f14:2d9d:2000:7cd8:bb93:ec42:3e0f,IPv6,44.240.99.186,PDX,US,North America,Portland,AS16509,"Amazon.com, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912238.000
23.95.123.103,443,true,0%,HTTPing,418ms,未测速,2a12:bec0:68f:1b5::,IPv6,23.95.123.103,DEN,US,North America,Denver,AS212336,ByteVirt LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
142.248.218.40,2053,true,0%,HTTPing,418ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,142.248.218.40,SJC,US,North America,San Jose,AS33039,Unify Media Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912241.000
38.150.33.206,443,true,0%,HTTPing,418ms,未测速,38.150.33.206,IPv4,38.150.33.206,LAX,US,North America,Los Angeles,AS979,NetLab Global,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
142.248.218.90,2053,true,0%,HTTPing,418ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,142.248.218.90,SJC,US,North America,San Jose,AS33039,Unify Media Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912241.000
204.152.214.123,443,true,0%,HTTPing,419ms,未测速,2607:9d00:2000:2eb::adb0:e328,IPv6,204.152.214.123,SJC,US,North America,San Jose,AS36352,HostPapa,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
143.110.231.86,443,true,0%,HTTPing,419ms,未测速,2604:a880:4:1d0:0:2:4634:4000,IPv6,143.110.231.86,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
129.146.201.236,443,true,0%,HTTPing,420ms,未测速,2603:c020:9:fb7e:0:7e6a:8ada:29d7,IPv6,129.146.201.236,SJC,US,North America,San Jose,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
206.189.214.99,443,true,0%,HTTPing,420ms,未测速,2604:a880:2:d1:0:1:26b6:a001,IPv6,206.189.214.99,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912243.000
193.233.87.197,443,true,0%,HTTPing,420ms,未测速,2606:2040:1000:7:be24:11ff:fe29:6f3d,IPv6,193.233.87.197,DFW,US,North America,Dallas,AS49791,Newserverlife LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912243.000
23.172.217.61,8443,true,0%,HTTPing,420ms,未测速,23.172.217.61,IPv4,23.172.217.61,SJC,US,North America,San Jose,AS400992,ZhouyiSat Communications,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
198.199.115.61,443,true,0%,HTTPing,420ms,未测速,2604:a880:1:4a::1103:f000,IPv6,198.199.115.61,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
129.146.46.164,443,true,0%,HTTPing,420ms,未测速,129.146.46.164,IPv4,129.146.46.164,SJC,US,North America,San Jose,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
142.248.218.221,2053,true,0%,HTTPing,420ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,142.248.218.221,LAS,US,North America,Las Vegas,AS33039,Unify Media Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
54.191.77.34,8443,true,0%,HTTPing,421ms,未测速,2600:1f13:644:5100:b284:949e:7442:f359,IPv6,54.191.77.34,PDX,US,North America,Portland,AS16509,"Amazon.com, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
104.194.79.122,443,true,0%,HTTPing,422ms,未测速,2607:8700:5500:22ed::2,IPv6,104.194.79.122,LAX,US,North America,Los Angeles,AS25820,IT7 Networks Inc,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912243.000
79.99.78.180,443,true,0%,HTTPing,423ms,未测速,2a12:bec0:68f:81f::,IPv6,79.99.78.180,DEN,US,North America,Denver,AS212336,ByteVirt LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912238.000
143.246.62.173,443,true,0%,HTTPing,424ms,未测速,2602:fa4f:802:76b:f669:2941:f312:557c,IPv6,143.246.62.173,SJC,US,North America,San Jose,AS61112,AKILE LTD,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912241.000
45.38.3.167,8443,true,0%,HTTPing,424ms,未测速,45.38.3.167,IPv4,45.38.3.167,DFW,US,North America,Dallas,AS49791,Newserverlife LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
38.207.187.7,443,true,0%,HTTPing,424ms,未测速,38.207.187.7,IPv4,38.207.187.7,DFW,US,North America,Dallas,AS979,NetLab Global,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
192.119.102.31,2096,true,0%,HTTPing,425ms,未测速,2a09:bac5:636a:1846::26b:92,IPv6,192.119.102.31,LAX,US,North America,Los Angeles,AS13335,"Cloudflare, Inc.",https,TLSv1.3,plaintext,http/1.1,on,off,off,X25519MLKEM768,1788912241.000
142.248.218.68,2053,true,0%,HTTPing,427ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,142.248.218.68,SJC,US,North America,San Jose,AS33039,Unify Media Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
23.169.169.40,443,true,0%,HTTPing,428ms,未测速,2602:f9a9:301:2960::1,IPv6,23.169.169.40,SJC,US,North America,San Jose,AS397968,SIMPLE CLOUD SOLUTION LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
23.95.20.5,8443,true,0%,HTTPing,428ms,未测速,23.95.20.5,IPv4,23.95.20.5,SJC,US,North America,San Jose,AS36352,HostPapa,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912243.000
45.56.118.247,443,true,0%,HTTPing,428ms,未测速,2600:3c02::2000:a7ff:fe72:1002,IPv6,45.56.118.247,ATL,US,North America,Atlanta,AS63949,Akamai Connected Cloud,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912238.000
142.248.218.202,2053,true,0%,HTTPing,430ms,未测速,2602:f95c:21:142:248:218:0:254,IPv6,142.248.218.202,SJC,US,North America,San Jose,AS33039,Unify Media Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912238.000
45.138.100.200,443,true,0%,HTTPing,431ms,未测速,45.138.100.200,IPv4,45.138.100.200,EWR,US,North America,Newark,AS41745,Baykov Ilya Sergeevich,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
150.136.139.228,443,true,0%,HTTPing,432ms,未测速,150.136.139.228,IPv4,150.136.139.228,IAD,US,North America,Ashburn,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
129.146.47.135,443,true,0%,HTTPing,432ms,未测速,129.146.47.135,IPv4,129.146.47.135,LAX,US,North America,Los Angeles,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
84.75.220.198,443,true,0%,HTTPing,432ms,未测速,2606:2040:140:32::7,IPv6,84.75.220.198,MIA,US,North America,Miami,AS49791,Newserverlife LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912241.000
205.186.76.198,443,true,0%,HTTPing,432ms,未测速,205.186.76.198,IPv4,205.186.76.198,LAX,US,North America,Los Angeles,AS30058,FDCservers.net,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
150.136.102.152,443,true,0%,HTTPing,432ms,未测速,2603:c020:4022:2400:0:5baf:905f:5b01,IPv6,150.136.102.152,IAD,US,North America,Ashburn,AS31898,Oracle Corporation,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912238.000
154.29.154.239,443,true,0%,HTTPing,433ms,未测速,154.29.154.239,IPv4,154.29.154.239,LAX,US,North America,Los Angeles,AS979,NetLab Global,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
185.219.7.206,443,true,0%,HTTPing,433ms,未测速,2a0d:6c2:6:b81::,IPv6,185.219.7.206,SJC,US,North America,San Jose,AS400992,ZhouyiSat Communications,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
150.241.122.110,8443,true,0%,HTTPing,433ms,未测速,2606:2040:1000:7:be24:11ff:fe21:c8cb,IPv6,150.241.122.110,DFW,US,North America,Dallas,AS49791,Newserverlife LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912243.000
185.238.251.210,2083,true,0%,HTTPing,433ms,未测速,2a14:640:8:22bc::1,IPv6,185.238.251.210,SEA,US,North America,Seattle,AS199959,Gwy It Pty Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912238.000
173.249.200.97,443,true,0%,HTTPing,433ms,未测速,2607:9000:800:52db::a,IPv6,173.249.200.97,SJC,US,North America,San Jose,AS11878,"tzulo, inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
23.227.196.6,443,true,0%,HTTPing,433ms,未测速,23.227.196.6,IPv4,23.227.196.6,ORD,US,North America,Chicago,AS29802,"HIVELOCITY, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912243.000
97.64.17.82,8443,true,0%,HTTPing,434ms,未测速,2607:8700:5501:a20::2,IPv6,97.64.17.82,DFW,US,North America,Dallas,AS25820,IT7 Networks Inc,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
43.162.107.184,443,true,0%,HTTPing,434ms,未测速,43.162.107.184,IPv4,43.162.107.184,SJC,US,North America,San Jose,AS132203,"Tencent Building, Kejizhongyi Avenue",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
149.28.89.69,443,true,0%,HTTPing,434ms,未测速,2001:19f0:6001:17f:5400:6ff:fe30:ae45,IPv6,149.28.89.69,DFW,US,North America,Dallas,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
149.248.16.218,443,true,0%,HTTPing,434ms,未测速,2001:19f0:6000:3678:5400:5ff:fefc:316,IPv6,149.248.16.218,LAX,US,North America,Los Angeles,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912241.000
3.128.31.119,443,true,0%,HTTPing,434ms,未测速,2600:1f16:1504:3100:a71:31a0:941b:d7cc,IPv6,3.128.31.119,CMH,US,North America,Columbus,AS16509,"Amazon.com, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
205.185.113.76,443,true,0%,HTTPing,435ms,未测速,205.185.113.76,IPv4,205.185.113.76,DEN,US,North America,Denver,AS53667,FranTech Solutions,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
166.88.227.121,443,true,0%,HTTPing,435ms,未测速,2a0f:9400:7390:1f::57,IPv6,166.88.227.121,MCI,US,North America,Kansas City,AS134677,Dromatics Systems Pte Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
